id;income
10001; <=50K
10002; <=50K
10003; >50K
10004; >50K
10005; <=50K
10006; <=50K
10007; <=50K
10008; <=50K
10009; <=50K
10010; >50K
10011; >50K
10012; <=50K
10013; <=50K
10014; <=50K
10015; <=50K
10016; <=50K
10017; <=50K
10018; <=50K
10019; <=50K
10020; <=50K
10021; <=50K
10022; <=50K
10023; <=50K
10024; <=50K
10025; <=50K
10026; <=50K
10027; <=50K
10028; <=50K
10029; >50K
10030; <=50K
10031; <=50K
10032; <=50K
10033; <=50K
10034; >50K
10035; <=50K
10036; <=50K
10037; <=50K
10038; <=50K
10039; <=50K
10040; <=50K
10041; <=50K
10042; >50K
10043; >50K
10044; <=50K
10045; <=50K
10046; <=50K
10047; <=50K
10048; >50K
10049; <=50K
10050; <=50K
10051; <=50K
10052; <=50K
10053; <=50K
10054; <=50K
10055; <=50K
10056; <=50K
10057; <=50K
10058; <=50K
10059; <=50K
10060; <=50K
10061; >50K
10062; >50K
10063; >50K
10064; >50K
10065; <=50K
10066; >50K
10067; <=50K
10068; <=50K
10069; <=50K
10070; <=50K
10071; <=50K
10072; <=50K
10073; <=50K
10074; <=50K
10075; <=50K
10076; <=50K
10077; <=50K
10078; <=50K
10079; <=50K
10080; >50K
10081; <=50K
10082; <=50K
10083; >50K
10084; <=50K
10085; <=50K
10086; <=50K
10087; <=50K
10088; <=50K
10089; <=50K
10090; <=50K
10091; <=50K
10092; <=50K
10093; <=50K
10094; <=50K
10095; <=50K
10096; <=50K
10097; <=50K
10098; <=50K
10099; <=50K
10100; >50K
10101; <=50K
10102; <=50K
10103; >50K
10104; <=50K
10105; >50K
10106; <=50K
10107; <=50K
10108; <=50K
10109; <=50K
10110; <=50K
10111; <=50K
10112; <=50K
10113; <=50K
10114; <=50K
10115; >50K
10116; <=50K
10117; <=50K
10118; <=50K
10119; >50K
10120; >50K
10121; <=50K
10122; >50K
10123; >50K
10124; <=50K
10125; <=50K
10126; <=50K
10127; <=50K
10128; <=50K
10129; <=50K
10130; <=50K
10131; <=50K
10132; <=50K
10133; <=50K
10134; <=50K
10135; <=50K
10136; <=50K
10137; >50K
10138; >50K
10139; <=50K
10140; <=50K
10141; >50K
10142; <=50K
10143; <=50K
10144; <=50K
10145; >50K
10146; >50K
10147; <=50K
10148; <=50K
10149; <=50K
10150; <=50K
10151; >50K
10152; <=50K
10153; <=50K
10154; <=50K
10155; <=50K
10156; >50K
10157; <=50K
10158; <=50K
10159; <=50K
10160; >50K
10161; <=50K
10162; <=50K
10163; >50K
10164; <=50K
10165; <=50K
10166; <=50K
10167; <=50K
10168; <=50K
10169; <=50K
10170; <=50K
10171; <=50K
10172; >50K
10173; <=50K
10174; >50K
10175; <=50K
10176; >50K
10177; <=50K
10178; >50K
10179; <=50K
10180; >50K
10181; <=50K
10182; <=50K
10183; <=50K
10184; <=50K
10185; <=50K
10186; >50K
10187; >50K
10188; <=50K
10189; >50K
10190; >50K
10191; <=50K
10192; <=50K
10193; >50K
10194; <=50K
10195; <=50K
10196; <=50K
10197; <=50K
10198; <=50K
10199; >50K
10200; >50K
10201; <=50K
10202; <=50K
10203; >50K
10204; >50K
10205; <=50K
10206; <=50K
10207; <=50K
10208; <=50K
10209; >50K
10210; <=50K
10211; <=50K
10212; >50K
10213; >50K
10214; <=50K
10215; <=50K
10216; <=50K
10217; <=50K
10218; <=50K
10219; >50K
10220; >50K
10221; <=50K
10222; <=50K
10223; <=50K
10224; <=50K
10225; <=50K
10226; <=50K
10227; <=50K
10228; <=50K
10229; <=50K
10230; <=50K
10231; >50K
10232; <=50K
10233; <=50K
10234; <=50K
10235; <=50K
10236; <=50K
10237; <=50K
10238; >50K
10239; <=50K
10240; <=50K
10241; <=50K
10242; >50K
10243; <=50K
10244; <=50K
10245; <=50K
10246; <=50K
10247; <=50K
10248; <=50K
10249; >50K
10250; <=50K
10251; <=50K
10252; <=50K
10253; <=50K
10254; <=50K
10255; <=50K
10256; >50K
10257; <=50K
10258; <=50K
10259; <=50K
10260; <=50K
10261; <=50K
10262; <=50K
10263; <=50K
10264; <=50K
10265; >50K
10266; <=50K
10267; <=50K
10268; >50K
10269; >50K
10270; >50K
10271; <=50K
10272; <=50K
10273; <=50K
10274; <=50K
10275; <=50K
10276; <=50K
10277; <=50K
10278; <=50K
10279; <=50K
10280; <=50K
10281; <=50K
10282; <=50K
10283; <=50K
10284; <=50K
10285; >50K
10286; <=50K
10287; >50K
10288; <=50K
10289; <=50K
10290; <=50K
10291; >50K
10292; >50K
10293; <=50K
10294; <=50K
10295; <=50K
10296; <=50K
10297; >50K
10298; <=50K
10299; <=50K
10300; <=50K
10301; <=50K
10302; <=50K
10303; <=50K
10304; <=50K
10305; <=50K
10306; <=50K
10307; <=50K
10308; <=50K
10309; <=50K
10310; >50K
10311; <=50K
10312; <=50K
10313; <=50K
10314; <=50K
10315; <=50K
10316; <=50K
10317; <=50K
10318; >50K
10319; >50K
10320; >50K
10321; <=50K
10322; <=50K
10323; <=50K
10324; <=50K
10325; <=50K
10326; >50K
10327; <=50K
10328; >50K
10329; <=50K
10330; <=50K
10331; <=50K
10332; >50K
10333; <=50K
10334; <=50K
10335; <=50K
10336; <=50K
10337; <=50K
10338; <=50K
10339; <=50K
10340; >50K
10341; <=50K
10342; <=50K
10343; >50K
10344; <=50K
10345; >50K
10346; <=50K
10347; <=50K
10348; >50K
10349; <=50K
10350; >50K
10351; <=50K
10352; <=50K
10353; <=50K
10354; <=50K
10355; <=50K
10356; >50K
10357; >50K
10358; <=50K
10359; <=50K
10360; <=50K
10361; <=50K
10362; <=50K
10363; >50K
10364; <=50K
10365; <=50K
10366; >50K
10367; >50K
10368; >50K
10369; >50K
10370; <=50K
10371; <=50K
10372; <=50K
10373; <=50K
10374; <=50K
10375; <=50K
10376; <=50K
10377; <=50K
10378; <=50K
10379; <=50K
10380; >50K
10381; <=50K
10382; <=50K
10383; <=50K
10384; <=50K
10385; <=50K
10386; >50K
10387; <=50K
10388; <=50K
10389; <=50K
10390; >50K
10391; <=50K
10392; <=50K
10393; <=50K
10394; >50K
10395; <=50K
10396; <=50K
10397; <=50K
10398; <=50K
10399; <=50K
10400; <=50K
10401; <=50K
10402; <=50K
10403; <=50K
10404; <=50K
10405; <=50K
10406; <=50K
10407; >50K
10408; <=50K
10409; >50K
10410; >50K
10411; <=50K
10412; <=50K
10413; <=50K
10414; <=50K
10415; <=50K
10416; >50K
10417; <=50K
10418; <=50K
10419; <=50K
10420; <=50K
10421; <=50K
10422; <=50K
10423; <=50K
10424; <=50K
10425; >50K
10426; <=50K
10427; <=50K
10428; <=50K
10429; <=50K
10430; >50K
10431; <=50K
10432; >50K
10433; <=50K
10434; <=50K
10435; <=50K
10436; <=50K
10437; <=50K
10438; <=50K
10439; >50K
10440; <=50K
10441; <=50K
10442; <=50K
10443; <=50K
10444; <=50K
10445; >50K
10446; >50K
10447; >50K
10448; <=50K
10449; <=50K
10450; <=50K
10451; <=50K
10452; <=50K
10453; <=50K
10454; >50K
10455; <=50K
10456; >50K
10457; <=50K
10458; <=50K
10459; >50K
10460; >50K
10461; <=50K
10462; >50K
10463; <=50K
10464; <=50K
10465; <=50K
10466; >50K
10467; <=50K
10468; <=50K
10469; <=50K
10470; <=50K
10471; <=50K
10472; <=50K
10473; <=50K
10474; <=50K
10475; <=50K
10476; <=50K
10477; >50K
10478; <=50K
10479; <=50K
10480; >50K
10481; <=50K
10482; <=50K
10483; >50K
10484; >50K
10485; <=50K
10486; <=50K
10487; <=50K
10488; >50K
10489; <=50K
10490; <=50K
10491; <=50K
10492; <=50K
10493; <=50K
10494; >50K
10495; >50K
10496; <=50K
10497; >50K
10498; <=50K
10499; <=50K
10500; >50K
10501; <=50K
10502; <=50K
10503; >50K
10504; <=50K
10505; <=50K
10506; <=50K
10507; <=50K
10508; <=50K
10509; >50K
10510; <=50K
10511; >50K
10512; <=50K
10513; >50K
10514; <=50K
10515; <=50K
10516; <=50K
10517; <=50K
10518; <=50K
10519; <=50K
10520; <=50K
10521; <=50K
10522; <=50K
10523; <=50K
10524; <=50K
10525; >50K
10526; <=50K
10527; <=50K
10528; <=50K
10529; >50K
10530; >50K
10531; <=50K
10532; <=50K
10533; <=50K
10534; >50K
10535; >50K
10536; >50K
10537; <=50K
10538; <=50K
10539; <=50K
10540; <=50K
10541; >50K
10542; <=50K
10543; <=50K
10544; >50K
10545; <=50K
10546; >50K
10547; <=50K
10548; <=50K
10549; <=50K
10550; <=50K
10551; >50K
10552; <=50K
10553; <=50K
10554; <=50K
10555; <=50K
10556; <=50K
10557; <=50K
10558; >50K
10559; <=50K
10560; <=50K
